case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
705,1,1,40-44 yrs,Indonesia,No,3,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,284.65,231.55,355.81,71.16,0.00,0.00,943.17
706,1,1,50-54 yrs,Indonesia,No,0,Air,Indonesia AirAsia (AWQ),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,4.00,FIT,Male,married,Spouse,Children aged 20-39 yrs,,,,,133.43,331.55,111.19,22.24,280.00,0.00,878.41
743,1,1,30-34 yrs,Indonesia,No,4,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,married,Spouse,,,,,,515.92,"1,006.55",71.16,44.48,0.00,0.00,"1,638.12"
753,1,1,45-49 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,Pkg,Male,married,Spouse,Children aged 13-19 yrs,Children aged 20-39 yrs,,,,179.20,156.55,80.06,56.00,0.00,0.00,471.81
785,1,1,35-39 yrs,Indonesia,No,10,Air,Jetstar Asia Airways (JSA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,477.85,196.55,71.16,88.95,0.00,0.00,834.52
786,1,1,55-59 yrs,Indonesia,No,5,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,divorced,Alone,,,,,,0.00,156.55,71.16,35.58,0.00,0.00,263.30
787,1,1,65 yrs & above,Indonesia,No,4,Air,Jetstar Asia Airways (JSA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,3.00,FIT,Male,married,Siblings,,,,,,240.17,196.55,106.74,35.58,"1,500.00",0.00,"2,079.05"
809,1,1,30-34 yrs,Indonesia,No,20,Air,AirAsia Berhad (AXM),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,2.00,FIT,Male,married,Parents/ Parents-in-law,,,,,,158.34,236.55,88.95,66.71,"12,000.00",0.00,"12,550.56"
818,1,1,35-39 yrs,Indonesia,No,4,Sea,,Stopover,Leisure,Leisure,Multi-Destination,No,Yes,1.00,Pkg,Male,married,Friends,,,,,,89.60,156.55,18.78,28.00,0.00,0.00,292.94
850,1,1,30-34 yrs,Indonesia,Yes,,Air,Freedom Air,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,195.70,256.55,106.74,71.16,0.00,0.00,630.15
