case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
"10,562",2,6,50-54 yrs,Indonesia,No,10,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,138.44,45.04,6.01,0.00,0.00,189.48
"10,563",2,6,50-54 yrs,Indonesia,No,30,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,5.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,853.89,"1,388.44",341.56,0.00,0.00,0.00,"2,583.88"
"10,564",2,6,45-49 yrs,Indonesia,No,,Air,Lion Airlines (LNI),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,3.00,FIT,Female,married,Children aged 8-12 yrs,,,,,,569.26,638.44,75.90,11.39,"1,166.67",0.00,"2,461.65"
"10,565",2,6,35-39 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Children aged 8-12 yrs,,,,,,318.79,888.44,102.47,56.93,"5,000.00",0.00,"6,366.61"
"10,566",2,6,50-54 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,Pkg,Male,married,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,,358.40,388.44,51.23,112.00,0.00,0.00,910.07
"10,567",2,6,40-44 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,358.97,738.44,170.78,51.23,0.00,0.00,"1,319.41"
"10,568",2,6,15-19 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,204.93,438.44,68.31,27.32,0.00,0.00,739.01
"10,577",2,6,35-39 yrs,Indonesia,No,18,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Business associates/ Colleagues,,,,,,"1,366.22",338.44,341.56,341.56,0.00,0.00,"2,387.77"
"10,578",2,6,50-54 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,single,Alone,,,,,,0.00,378.44,25.62,17.08,0.00,0.00,421.13
"10,580",2,6,25-29 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Female,single,Partner/ Boyfriend/ Girlfriend,,,,,,458.34,538.44,136.62,51.23,0.00,0.00,"1,184.64"
"10,583",2,6,20-24 yrs,Indonesia,No,2,Air,China Airlines Limited (CAL),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,single,Siblings,,,,,,0.00,463.44,85.39,17.08,0.00,0.00,565.90
"10,584",2,6,40-44 yrs,Indonesia,No,6,Air,China Airlines Limited (CAL),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Business associates/ Colleagues,,,,,,170.78,"1,138.44",68.31,17.08,0.00,0.00,"1,394.60"
"10,585",2,6,40-44 yrs,Indonesia,No,5,Air,China Airlines Limited (CAL),General business purpose,Business,Business,Mono-SIN,No,No,4.00,FIT,Male,married,Alone,,,,,,594.31,638.44,170.78,170.78,0.00,0.00,"1,574.30"
"10,595",2,6,45-49 yrs,Indonesia,No,3,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,married,Spouse,Children aged 13-19 yrs,,,,,0.00,401.77,136.62,22.77,0.00,0.00,561.16
"10,596",2,6,40-44 yrs,Indonesia,No,1,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,,,,,124.91,213.44,34.16,14.23,0.00,0.00,386.74
"10,597",2,6,30-34 yrs,Indonesia,Yes,,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,married,Spouse,Children aged 0-7 yrs,Children aged 8-12 yrs,,,,136.62,160.94,149.43,64.04,0.00,0.00,511.03
"10,598",2,6,35-39 yrs,Indonesia,No,7,Air,Indonesia AirAsia (AWQ),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,138.44,34.16,34.16,"6,400.00",0.00,"6,606.75"
"10,599",2,6,60-64 yrs,Indonesia,No,5,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,married,Business associates/ Colleagues,,,,,,597.72,588.44,426.95,55.50,0.00,0.00,"1,668.61"
"10,600",2,6,20-24 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,Other relatives,,,,115.40,405.10,56.93,28.46,0.00,0.00,605.89
"10,605",2,6,55-59 yrs,Indonesia,Yes,,Air,Indonesia AirAsia (AWQ),"Others - Work Related (e.g. visa, insurance, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,0.00,238.44,0.00,25.62,0.00,0.00,264.05
"10,611",2,6,35-39 yrs,Indonesia,No,4,Air,Indonesia AirAsia (AWQ),"Others - Work Related (e.g. visa, insurance, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,day tripper,FIT,Male,single,Alone,,,,,,0.00,377.44,68.31,68.31,0.00,0.00,514.06
"10,628",2,6,25-29 yrs,Indonesia,No,5,Air,Garuda Indonesia (GIA),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,9.00,FIT,Female,married,Parents/ Parents-in-law,,,,,,193.55,221.77,56.93,12.65,133.33,0.00,618.23
"10,629",2,6,45-49 yrs,Indonesia,No,0,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,3.00,FIT,Male,married,Alone,,,,,,235.85,205.44,56.93,22.77,0.00,0.00,520.98
"10,630",2,6,15-19 yrs,Indonesia,No,3,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Male,single,Parents/ Parents-in-law,,,,,,113.85,198.44,28.46,5.69,0.00,0.00,346.44
"10,644",2,6,20-24 yrs,Indonesia,No,4,Sea,,"Others - Work Related (e.g. visa, insurance, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,31.00,FIT,Male,single,Parents/ Parents-in-law,,,,,,0.00,168.44,60.05,19.37,0.00,0.00,247.86
"10,668",2,6,30-34 yrs,Indonesia,No,5,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Multi-Destination,No,Yes,2.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,,,,,135.12,188.44,60.05,15.01,0.00,0.00,398.62
"10,673",3,7,15-19 yrs,Indonesia,No,0,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,0.00,126.55,5.26,5.26,0.00,0.00,137.06
"10,674",3,7,15-19 yrs,Indonesia,No,20,Air,Tiger Airways (TGW),Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,Yes,3.00,FIT,Male,single,Parents/ Parents-in-law,Siblings,,,,,0.00,126.55,44.69,29.79,0.00,0.00,201.03
"10,676",3,7,50-54 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,day tripper,F&E,Male,married,Business associates/ Colleagues,,,,,,0.00,138.55,17.88,0.00,0.00,0.00,156.42
"10,677",3,7,50-54 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,day tripper,F&E,Male,married,Business associates/ Colleagues,,,,,,0.00,126.55,35.75,0.00,0.00,0.00,162.30
"10,678",3,7,35-39 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,day tripper,F&E,Female,single,Friends,,,,,,0.00,126.55,8.94,0.00,0.00,0.00,135.48
"10,692",3,7,30-34 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),Stopover,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Male,married,Spouse,,,,,,"1,167.33","1,376.55",178.76,178.76,0.00,0.00,"2,901.40"
"10,694",3,7,30-34 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),General business purpose,Business,Business,Mono-SIN,No,No,3.00,FIT,Female,single,Alone,,,,,,417.86,426.55,59.59,17.88,0.00,0.00,921.87
"10,722",3,7,40-44 yrs,Indonesia,No,4,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,721.56,186.55,286.02,143.01,0.00,0.00,"1,337.14"
"10,723",3,7,35-39 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,3.00,FIT,Male,married,Parents/ Parents-in-law,,,,,,536.29,226.55,89.38,35.75,"1,500.00",0.00,"2,387.97"
"10,726",3,7,20-24 yrs,Indonesia,No,6,Air,Garuda Indonesia (GIA),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,2.00,FIT,Male,single,Parents/ Parents-in-law,,,,,,476.70,459.88,268.15,208.56,"2,500.00",0.00,"3,913.28"
"10,732",3,7,35-39 yrs,Indonesia,No,48,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Alone,,,,,,0.00,126.55,0.00,178.76,0.00,0.00,305.31
"10,741",3,7,25-29 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Sightseeing/ Attractions,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,132.45,89.38,10.73,0.00,0.00,232.55
"10,742",3,7,20-24 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),"Others - Work Related (e.g. visa, insurance, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,day tripper,FIT,Male,single,Alone,,,,,,0.00,126.55,44.69,35.75,0.00,0.00,206.99
"10,767",3,7,40-44 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Female,married,Friends,,,,,,89.38,426.55,35.75,71.51,0.00,0.00,623.19
"10,768",3,7,25-29 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,Pkg,Male,single,Others,,,,,,179.20,326.55,35.58,56.00,0.00,0.00,597.33
"10,773",3,7,15-19 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,11.00,FIT,Male,single,Parents/ Parents-in-law,Siblings,,,,,0.00,226.55,40.63,9.75,0.00,0.00,276.92
"10,785",3,7,40-44 yrs,Indonesia,No,6,Air,Batavia Air (BTV),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,89.38,126.55,89.38,17.88,0.00,0.00,323.19
"10,792",3,7,35-39 yrs,Indonesia,No,10,Air,Cathay Pacific Airways Limited (CPA),Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,10.00,FIT,Male,married,Spouse,,,,,,0.00,426.55,89.38,28.60,0.00,0.00,544.53
"10,811",3,7,55-59 yrs,Indonesia,No,36,Air,AirAsia Berhad (AXM),Stopover,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Male,married,Alone,,,,,,962.53,126.55,178.76,178.76,0.00,0.00,"1,446.61"
"10,817",3,7,50-54 yrs,Indonesia,No,20,Sea,,To take or join a reginal or international cruise,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,married,Siblings,,,,,,0.00,126.55,7.89,0.00,0.00,0.00,134.43
"10,818",3,7,65 yrs & above,Indonesia,No,5,Air,AirAsia Berhad (AXM),To take or join a reginal or international cruise,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Female,married,Spouse,Children aged 13-19 yrs,Children aged 20-39 yrs,,,,205.58,126.55,44.69,26.81,0.00,0.00,403.63
"10,826",3,7,40-44 yrs,Indonesia,No,100,Sea,,To take or join a reginal or international cruise,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,married,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,,0.00,131.55,4.73,0.00,0.00,0.00,136.28
"10,840",3,7,20-24 yrs,Indonesia,No,2,Air,Philippine Airlines Inc (PAL),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Alone,,,,,,0.00,166.55,53.63,17.88,0.00,0.00,238.05
"10,842",3,7,65 yrs & above,Indonesia,No,30,Air,Philippine Airlines Inc (PAL),General business purpose,Business,Business,Mono-SIN,No,No,6.00,FIT,Male,married,Alone,,,,,,286.02,126.55,"1,072.58",0.00,0.00,0.00,"1,485.15"
"10,880",3,7,40-44 yrs,Indonesia,No,4,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,3.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,323.39,126.55,134.07,29.79,0.00,0.00,613.81
"10,882",3,7,40-44 yrs,Indonesia,No,5,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,893.82,626.55,"1,251.34",0.00,0.00,0.00,"2,771.71"
"10,909",3,7,40-44 yrs,Indonesia,Yes,,Air,Valuair (VLU),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Female,single,Alone,,,,,,0.00,186.55,0.00,0.00,0.00,0.00,186.55
"10,910",3,7,35-39 yrs,Indonesia,No,3,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,2.00,Pkg,Female,married,Children aged 0-7 yrs,Parents/ Parents-in-law,,,,,179.20,336.55,35.58,56.00,0.00,0.00,607.33
"10,911",3,7,15-19 yrs,Indonesia,Yes,,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,2.00,Pkg,Female,single,Parents/ Parents-in-law,Siblings,,,,,179.20,164.05,35.58,56.00,0.00,0.00,434.83
"10,912",3,7,40-44 yrs,Indonesia,No,3,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,4.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,,,,,102.51,526.55,98.57,39.43,0.00,0.00,767.05
"10,940",3,7,20-24 yrs,Indonesia,No,3,Air,Garuda Indonesia (GIA),Convention/conference,Business,Business,Multi-Destination,No,Yes,4.00,FIT,Female,single,Friends,,,,,,822.31,126.55,89.38,17.88,0.00,0.00,"1,056.12"
"10,988",3,7,35-39 yrs,Indonesia,No,3,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Children aged 0-7 yrs,,,,,,0.00,141.55,11.83,4.73,0.00,0.00,158.10
"10,989",3,7,40-44 yrs,Indonesia,No,10,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Female,married,Alone,,,,,,0.00,126.55,15.77,11.04,0.00,0.00,153.36
"10,990",3,7,45-49 yrs,Indonesia,Yes,,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,Pkg,Male,married,Spouse,Children aged 0-7 yrs,Children aged 8-12 yrs,Children aged 13-19 yrs,Other relatives,,179.20,176.55,44.69,0.00,0.00,0.00,400.44
"10,991",3,7,30-34 yrs,Indonesia,No,10,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,1.00,FIT,Female,married,Spouse,,,,,,473.12,126.55,47.31,157.71,0.00,0.00,804.68
"10,992",3,7,25-29 yrs,Indonesia,No,100,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Female,single,Alone,,,,,,0.00,186.55,18.92,9.46,150.00,0.00,364.93
"10,993",3,7,30-34 yrs,Indonesia,No,60,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,186.55,11.04,63.08,0.00,0.00,260.67
"10,994",3,7,15-19 yrs,Indonesia,No,15,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,8.00,FIT,Female,single,Alone,,,,,,0.00,326.55,11.83,15.77,0.00,0.00,354.14
"10,995",3,7,20-24 yrs,Indonesia,No,10,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,single,Alone,,,,,,0.00,206.55,31.54,10.51,0.00,0.00,248.60
"10,996",3,7,45-49 yrs,Indonesia,No,60,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,7.00,FIT,Female,married,Children aged 13-19 yrs,Children aged 20-39 yrs,,,,,0.00,826.55,33.79,16.90,0.00,0.00,877.24
"10,997",3,7,45-49 yrs,Indonesia,No,2,Land,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,Yes,No,day tripper,FIT,Male,married,Spouse,Children aged 13-19 yrs,Parents/ Parents-in-law,Siblings,Other relatives,,0.00,276.55,8.94,8.04,0.00,0.00,293.53
"10,998",3,7,25-29 yrs,Indonesia,No,40,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,"1,406.55",23.66,4.73,0.00,0.00,"1,434.93"
"10,999",3,7,40-44 yrs,Indonesia,No,20,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Children aged 8-12 yrs,Other relatives,,,,0.00,172.55,78.85,15.77,0.00,0.00,267.17
"11,000",3,7,35-39 yrs,Indonesia,No,6,Land,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,Yes,No,1.00,FIT,Male,married,Friends,,,,,,89.38,126.55,178.76,107.26,0.00,0.00,501.95
"11,043",3,7,35-39 yrs,Indonesia,Yes,,Land,,General business purpose,Business,Business,Multi-Destination,Yes,No,1.00,FIT,Male,single,Alone,,,,,,178.76,926.55,357.53,178.76,0.00,0.00,"1,641.60"
"11,044",3,7,45-49 yrs,Indonesia,No,13,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,,,,,130.70,176.55,39.73,27.81,0.00,0.00,374.77
"11,045",3,7,15-19 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,single,Parents/ Parents-in-law,Siblings,,,,,536.29,326.55,178.76,238.35,0.00,0.00,"1,279.95"
"11,046",3,7,40-44 yrs,Indonesia,No,15,Air,Lion Airlines (LNI),General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,126.55,125.13,89.38,0.00,0.00,341.06
"11,047",3,7,20-24 yrs,Indonesia,No,0,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,263.48,851.55,143.01,59.59,0.00,0.00,"1,317.62"
"11,048",3,7,45-49 yrs,Indonesia,No,4,Air,Indonesia AirAsia (AWQ),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,Children aged 8-12 yrs,,,,,170.82,226.55,268.15,53.63,"3,500.00",0.00,"4,219.14"
"11,079",3,7,45-49 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),General business purpose,Business,Business,Mono-SIN,No,No,10.00,FIT,Male,married,Alone,,,,,,500.54,776.55,107.26,107.26,0.00,0.00,"1,491.60"
"11,080",3,7,65 yrs & above,Indonesia,No,5,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Male,married,Spouse,Children aged 20-39 yrs,,,,,0.00,126.55,35.75,7.15,0.00,0.00,169.45
"11,081",3,7,50-54 yrs,Indonesia,No,15,Air,AirAsia Berhad (AXM),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,572.04,716.55,143.01,178.76,0.00,0.00,"1,610.36"
"11,082",3,7,30-34 yrs,Indonesia,No,4,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Children aged 8-12 yrs,,,,,,70.35,226.55,148.97,71.51,0.00,0.00,517.37
"11,101",3,7,35-39 yrs,Indonesia,No,3,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,126.55,0.00,31.54,0.00,0.00,158.09
"11,102",3,7,35-39 yrs,Indonesia,No,5,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,married,Alone,,,,,,0.00,626.55,11.04,0.00,0.00,0.00,637.59
"11,104",3,7,20-24 yrs,Indonesia,No,5,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Children aged 0-7 yrs,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,0.00,164.05,0.79,13.80,0.00,0.00,178.63
"11,106",3,7,60-64 yrs,Indonesia,No,4,Land,,To shop/attend shopping events in Singapore,Leisure,Leisure,Multi-Destination,Yes,Yes,day tripper,FIT,Male,married,Spouse,,,,,,0.00,301.55,44.69,18.77,0.00,0.00,365.01
"11,107",3,7,25-29 yrs,Indonesia,No,7,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,F&E,Male,single,Others,,,,,,0.00,226.55,0.00,0.00,0.00,0.00,226.55
"11,108",3,7,40-44 yrs,Indonesia,No,10,Sea,,"IR (e.g. MBS, RWS)",Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Spouse,,,,,,735.96,376.55,262.84,210.28,0.00,0.00,"1,585.63"
"11,109",3,7,35-39 yrs,Indonesia,Yes,,Air,Batavia Air (BTV),"IR (e.g. MBS, RWS)",Leisure,Leisure,Multi-Destination,No,Yes,5.00,FIT,Female,married,Children aged 8-12 yrs,,,,,,393.28,126.55,1.43,35.75,0.00,0.00,557.01
"11,120",3,7,50-54 yrs,Indonesia,No,20,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Multi-Destination,No,Yes,3.00,FIT,Female,single,Alone,,,,,,"1,430.11","1,626.55",357.53,178.76,0.00,0.00,"3,592.94"
"11,158",3,7,65 yrs & above,Indonesia,No,3,Air,Tiger Airways (TGW),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Female,married,Spouse,,,,,,0.00,186.55,0.00,13.41,0.00,0.00,199.95
"11,181",3,7,12-14 yrs,Indonesia,Yes,,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,single,Grandparents/ Grandparents-in-law,Other relatives,,,,,89.38,166.55,71.51,10.73,0.00,0.00,338.16
"11,188",3,7,20-24 yrs,Indonesia,No,3,Air,Lufthansa German Airlines AG (DLH),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,5.00,FIT,Female,single,Friends,,,,,,178.76,126.55,71.51,17.88,0.00,0.00,394.69
"11,190",3,7,20-24 yrs,Indonesia,Yes,,Land,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,Yes,2.00,FIT,Female,single,Partner/ Boyfriend/ Girlfriend,,,,,,178.76,126.55,178.76,44.69,0.00,0.00,528.76
"11,218",3,7,20-24 yrs,Indonesia,Yes,,Air,Garuda Indonesia (GIA),Stopover,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Female,single,Other relatives,,,,,,97.85,126.55,357.53,0.00,0.00,0.00,581.93
"11,221",3,7,20-24 yrs,Indonesia,No,50,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,2.00,FIT,Male,single,Other relatives,,,,,,0.00,165.55,157.71,0.00,0.00,0.00,323.25
"11,276",3,7,35-39 yrs,Indonesia,No,15,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,married,Spouse,Children aged 13-19 yrs,,,,,536.29,726.55,223.45,44.69,0.00,0.00,"1,530.98"
"11,277",3,7,50-54 yrs,Indonesia,No,18,Air,Garuda Indonesia (GIA),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,0.00,335.55,214.52,0.00,0.00,0.00,550.06
"11,279",3,7,15-19 yrs,Indonesia,No,3,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,190.68,126.55,99.31,19.86,0.00,0.00,436.40
"11,288",3,7,55-59 yrs,Indonesia,No,6,Air,SilkAir (Singapore) Pte Limited (SLK),Sightseeing/ Attractions,Leisure,Leisure,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Alone,,,,,,0.00,264.73,49.41,0.00,0.00,0.00,314.14
"11,298",3,7,30-34 yrs,Indonesia,No,1,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,10.00,FIT,Female,married,Alone,,,,,,0.00,226.55,94.62,12.62,0.00,0.00,333.79
"11,299",3,7,45-49 yrs,Indonesia,No,100,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,176.55,15.77,44.16,0.00,0.00,236.47
"11,300",3,7,20-24 yrs,Indonesia,No,5,Sea,,In-patient treatment,Healthcare,Healthcare,Mono-SIN,No,No,12.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,0.00,306.55,15.77,5.26,0.00,0.00,327.57
"11,301",3,7,25-29 yrs,Indonesia,No,12,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Alone,,,,,,0.00,126.55,47.31,31.54,0.00,0.00,205.40
"11,302",3,7,15-19 yrs,Indonesia,No,7,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Parents/ Parents-in-law,,,,,,0.00,161.55,94.62,31.54,0.00,0.00,287.71
