id,qtr,mth,age,first_time_visit,visits_p3y,arrival_method,carrier,pov,pov_grp,multi_dest,last_port,next_port,stay_length,travel_type,gender,married,accom_exp,shopping_exp,fnb_exp,transport_exp,medical_exp,other_exp,total_exp,accompanying_pax,avg_exp,companions,companions_total,comp_alone,comp_colleagues,comp_partner,comp_friends,comp_family,comp_children
932,1,Jan,45-49,No,10,Air,AWQ,Hea_T,Hea,No,No,No,0,FIT,Male,Yes,0.0,716.55,177.91,17.79,4000.0,0.0,4912.25,False,4912.25,['Alone'],Alone,True,False,False,False,False,False
933,1,Jan,25-29,Yes,0,Air,AWQ,Hol,Lei,No,No,No,4,FIT,Male,No,26.69,451.55,133.43,26.69,0.0,0.0,638.35,False,159.58749389648438,['Partner/ Boyfriend/ Girlfriend'],Partner/ Boyfriend/ Girlfriend,False,False,True,False,False,False
939,1,Jan,35-39,No,9,Air,GIA,Stp,Lei,Yes,Yes,No,1,FIT,Male,Yes,252.19,156.55,35.58,96.07,0.0,0.0,540.39,False,540.3900146484375,['Alone'],Alone,True,False,False,False,False,False
968,1,Jan,45-49,No,2,Air,GIA,Hol,Lei,No,No,No,3,FIT,Female,Yes,213.49,306.55,71.16,59.3,0.0,0.0,650.5,False,216.83333333333334,"['Spouse', 'Friends']","Spouse, Friends",False,False,True,True,False,False
969,1,Jan,60-64,No,6,Air,GIA,Hol,Lei,No,No,No,3,FIT,Male,Yes,355.81,656.55,355.81,118.6,0.0,0.0,1486.78,False,495.5933430989583,"['Spouse', 'Children aged 13-19 yrs']","Spouse, Children aged 13-19 yrs",False,False,True,False,False,True
970,1,Jan,30-34,No,25,Air,SIA,Gen_B,Bus,Yes,Yes,No,2,FIT,Male,Yes,996.27,286.55,711.62,177.91,0.0,0.0,2172.35,False,1086.175048828125,['Alone'],Alone,True,False,False,False,False,False
972,1,Jan,35-39,No,12,Air,AXM,Hea_T,Hea,No,No,No,2,FIT,Female,Yes,186.8,318.05,88.95,88.95,1500.0,0.0,2182.76,False,1091.3800048828125,['Children aged 13-19 yrs'],Children aged 13-19 yrs,False,False,False,False,False,True
973,1,Jan,45-49,No,5,Air,A_Otr,Stp,Lei,Yes,Yes,No,1,FIT,Male,Yes,118.6,156.55,23.72,47.44,0.0,0.0,346.32,False,346.32000732421875,"['Spouse', 'Children aged 0-7 yrs']","Spouse, Children aged 0-7 yrs",False,False,True,False,False,True
987,1,Jan,15-19,No,5,Air,AXM,Hol,Lei,No,No,No,5,FIT,Female,No,177.91,281.55,124.53,10.67,0.0,0.0,594.67,False,118.93399658203126,['Siblings'],Siblings,False,False,False,False,True,False
1027,1,Jan,55-59,No,2,Air,A_Otr,Otr_Per,Lei,Yes,Yes,No,0,FIT,Male,Yes,0.0,156.55,17.79,0.0,0.0,0.0,174.34,False,174.33999633789062,['Spouse'],Spouse,False,False,True,False,False,False
1028,1,Jan,50-54,No,12,Air,VLU,Hol,Lei,No,No,No,2,FIT,Male,Yes,0.0,856.55,177.91,59.3,0.0,0.0,1093.76,False,546.8800048828125,['Friends'],Friends,False,False,False,True,False,False
1029,1,Jan,40-44,No,5,Air,AXM,Hol,Lei,No,No,No,12,FIT,Female,Yes,222.38,1256.55,177.91,74.13,0.0,0.0,1730.97,False,144.24749755859375,['Friends'],Friends,False,False,False,True,False,False
1030,1,Jan,60-64,No,20,Air,VLU,Hea_T,Hea,No,No,No,10,FIT,Male,Yes,0.0,426.55,53.37,14.23,2500.0,0.0,2994.16,False,299.4159912109375,['Spouse'],Spouse,False,False,True,False,False,False
1040,1,Jan,35-39,Yes,0,Air,AXM,Hol,Lei,No,No,No,5,FIT,Male,Yes,0.0,256.55,21.35,7.12,0.0,0.0,285.02,False,57.003997802734375,"['Spouse', 'Children aged 0-7 yrs', 'Parents/ Parents-in-law']","Spouse, Children aged 0-7 yrs, Parents/ Parents-in-law",False,False,True,False,True,True
1041,1,Jan,35-39,Yes,0,Air,AXM,Hol,Lei,No,No,No,16,FIT,Male,Yes,0.0,156.55,35.58,0.0,0.0,0.0,192.13,False,12.008125305175781,['Alone'],Alone,True,False,False,False,False,False
1052,1,Jan,35-39,No,15,Air,A_Otr,Gen_B,Bus,Yes,No,Yes,3,FIT,Male,No,569.3,356.55,177.91,88.95,0.0,0.0,1192.71,False,397.5699869791667,['Alone'],Alone,True,False,False,False,False,False
1068,1,Jan,55-59,No,30,Air,GIA,Gen_B,Bus,No,No,No,7,FIT,Male,Yes,0.0,2156.55,177.91,106.74,0.0,0.0,2441.2,False,348.7428501674107,['Alone'],Alone,True,False,False,False,False,False
1069,1,Jan,40-44,No,1,Air,GIA,Hol,Lei,No,No,No,3,FIT,Male,Yes,88.95,156.55,88.95,29.65,0.0,0.0,364.11,False,121.3699951171875,"['Spouse', 'Children aged 13-19 yrs']","Spouse, Children aged 13-19 yrs",False,False,True,False,False,True
1077,1,Jan,40-44,No,3,Air,SIA,Hea_T,Hea,No,No,No,5,FIT,Female,Yes,195.7,306.55,177.91,35.58,500.0,0.0,1215.73,False,243.14599609375,"['Spouse', 'Children aged 13-19 yrs']","Spouse, Children aged 13-19 yrs",False,False,True,False,False,True
1097,1,Jan,20-24,No,1,Air,AXM,Acco_Hea,Lei,No,No,No,3,FIT,Female,No,0.0,196.55,71.16,35.58,550.0,0.0,853.3,True,284.43332926432294,['Parents/ Parents-in-law'],Parents/ Parents-in-law,False,False,False,False,True,False
1129,1,Jan,40-44,No,6,Air,AXM,Otr_Per,Lei,No,No,No,2,FIT,Male,No,889.26,156.55,355.81,44.48,0.0,0.0,1446.1,False,723.0499877929688,['Alone'],Alone,True,False,False,False,False,False
1134,1,Jan,60-64,No,4,Air,GIA,Hea_T,Hea,No,No,No,1,FIT,Male,Yes,269.74,206.55,177.91,177.91,300.0,0.0,1132.1,False,1132.0999755859375,['Spouse'],Spouse,False,False,True,False,False,False
